北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南
190.33,135.2,95.21,104.78,128.41,145.68,159.37,116.22,221.11,144.98,169.92,153.11,144.92,140.54,115.84,101.18
43.77,36.4,22.83,25.11,27.63,32.83,33.38,29.57,38.64,29.12,32.75,23.09,21.26,21.5,30.26,23.26
9.73,10.47,9.3,6.4,8.94,17.79,18.37,13.24,12.53,11.67,12.72,15.62,16.96,17.64,12.2,8.46
60.54,44.16,22.44,9.89,12.58,27.29,11.81,13.76,115.65,42.6,47.12,23.54,19.52,19.19,33.61,20.2
49.01,36.49,22.81,18.17,23.99,39.09,25.29,21.75,50.82,27.3,34.35,18.18,21.75,15.97,33.77,20.5
9.04,3.94,2.8,3.25,3.27,3.47,5.22,6.04,5.89,5.74,5,6.39,6.73,4.94,3.85,4.3
