日期,北京,上海,郑州,武汉,西安,沈阳
2022/6/17,145,139,140,91,140,113
2022/6/18,159,73,136,48,120,59
2022/6/19,151,73,144,23,75,108
2022/6/20,170,42,150,58,60,79
2022/6/21,172,57,135,44,68,42
2022/6/22,73,68,85,39,80,50
2022/6/23,81,63,138,47,128,41
2022/6/24,73,35,186,35,170,40
2022/6/25,205,92,107,48,110,62
2022/6/26,105,66,54,47,55,104
2022/6/27,70,62,71,44,97,25
2022/6/28,46,52,101,55,98,34
2022/6/29,44,55,136,71,131,35
2022/6/30,76,39,98,109,170,75
2022/7/1,69,33,129,81,142,38
2022/7/2,106,25,100,71,54,29
2022/7/3,64,29,49,48,118,49
2022/7/4,56,32,70,46,104,31
2022/7/5,79,86,36,22,99,48
2022/7/6,56,78,92,48,140,33
2022/7/7,96,89,127,111,120,64
2022/7/8,83,80,121,44,142,107
2022/7/9,45,119,84,50,140,86
2022/7/10,62,110,60,53,109,61
2022/7/11,69,87,51,47,88,120
2022/7/12,51,119,54,47,52,65
2022/7/13,87,133,47,50,38,49
2022/7/14,82,126,112,73,64,65
2022/7/15,83,92,70,71,89,36
2022/7/16,161,70,45,66,38,37
2022/7/17,60,102,96,42,83,42
2022/7/18,71,67,132,129,83,42
2022/7/19,120,56,47,50,60,64
2022/7/20,108,85,73,32,103,78
2022/7/21,128,60,120,67,105,50
2022/7/22,110,150,44,48,47,65
2022/7/23,85,75,103,47,97,38
2022/7/24,136,116,115,144,137,64
2022/7/25,110,92,86,70,166,98
2022/7/26,100,104,89,97,106,104
2022/7/27,50,134,83,102,67,100
2022/7/28,51,104,77,47,122,51
2022/7/29,92,21,79,66,113,39
2022/7/30,97,26,70,95,101,37
2022/7/31,95,55,62,98,101,45
2022/8/1,120,76,102,149,104,66
2022/8/2,98,81,95,117,94,91
2022/8/3,98,49,85,105,103,101
2022/8/4,102,65,105,97,109,89
2022/8/5,108,120,95,50,121,59
2022/8/6,70,63,80,65,116,84
2022/8/7,81,88,99,53,124,36
2022/8/8,33,65,76,59,124,35
2022/8/9,40,90,43,74,100,50
2022/8/10,82,109,51,113,107,62
2022/8/11,98,121,119,50,112,72
2022/8/12,100,110,112,55,131,65
2022/8/13,110,121,105,64,106,73
2022/8/14,40,115,93,60,113,40
2022/8/15,41,116,84,61,95,22
2022/8/16,69,95,69,123,96,43
2022/8/17,86,95,84,95,122,74
2022/8/18,47,97,93,67,125,65
2022/8/19,39,103,87,66,95,35
2022/8/20,79,95,104,127,75,42
2022/8/21,92,54,98,55,93,78
2022/8/22,52,108,78,48,75,50
2022/8/23,26,131,66,75,64,29
2022/8/24,63,38,120,56,71,44
2022/8/25,40,52,45,117,36,43
2022/8/26,30,46,46,70,27,38
2022/8/27,35,50,34,70,31,30
2022/8/28,38,49,32,116,24,46
2022/8/29,41,90,27,26,33,30
2022/8/30,77,65,35,42,38,67
2022/8/31,47,43,95,43,70,87
2022/9/1,66,72,85,57,106,36
2022/9/2,86,49,108,73,83,49
2022/9/3,85,29,93,79,54,55
2022/9/4,95,21,90,95,43,37
2022/9/5,40,45,123,111,77,32
2022/9/6,36,130,103,148,102,42
2022/9/7,58,141,115,117,128,49
2022/9/8,111,65,131,142,69,85
2022/9/9,157,60,66,103,101,144
2022/9/10,157,72,72,143,77,56
2022/9/11,100,45,126,120,82,72
2022/9/12,120,32,150,102,101,78
2022/9/13,106,32,126,90,98,69
2022/9/14,71,25,82,70,89,58
2022/9/15,85,34,82,85,101,28
2022/9/16,99,62,102,94,110,24
2022/9/17,123,74,164,127,55,42
2022/9/18,43,71,120,96,56,37
2022/9/19,37,73,72,140,50,34
2022/9/20,41,45,51,57,43,44
2022/9/21,75,39,97,48,42,56
2022/9/22,47,53,75,65,52,49
2022/9/23,33,75,68,67,55,27
2022/9/24,49,45,75,60,74,45
2022/9/25,100,50,75,60,70,82
2022/9/26,147,55,103,108,85,127
2022/9/27,145,53,91,145,54,134
2022/9/28,133,43,111,58,60,133
2022/9/29,150,48,89,157,86,120
2022/9/30,146,37,85,142,80,108
2022/10/1,94,42,64,93,62,65
2022/10/2,34,56,45,62,62,48
2022/10/3,23,85,31,55,51,20
2022/10/4,31,30,22,25,23,28
2022/10/5,29,35,27,22,25,38
2022/10/6,46,34,35,23,33,46
2022/10/7,70,36,43,32,42,51
2022/10/8,84,43,48,35,40,58
2022/10/9,33,52,51,34,40,33
2022/10/10,34,47,43,43,53,27
2022/10/11,36,45,55,64,59,44
2022/10/12,71,47,70,78,90,62
2022/10/13,115,54,78,82,100,80
2022/10/14,142,49,89,95,67,77
2022/10/15,142,58,89,110,62,94
2022/10/16,29,49,82,98,59,25
2022/10/17,27,55,44,79,68,33
2022/10/18,32,38,55,71,104,44
2022/10/19,63,47,89,74,107,60
2022/10/20,105,46,85,78,77,71
2022/10/21,128,54,102,97,94,61
2022/10/22,39,44,96,101,97,35
2022/10/23,31,61,88,130,90,48
2022/10/24,58,51,104,75,110,62
2022/10/25,120,42,74,65,142,56
2022/10/26,129,47,64,41,92,45
2022/10/27,25,37,78,39,64,35
2022/10/28,57,46,53,38,63,47
2022/10/29,66,45,72,45,56,63
2022/10/30,97,44,87,72,54,123
2022/10/31,37,41,87,76,53,62
2022/11/1,34,49,142,79,87,40
2022/11/2,59,53,93,75,110,51
2022/11/3,45,48,70,85,73,33
2022/11/4,31,38,43,78,94,55
2022/11/5,54,44,55,53,102,58
2022/11/6,109,43,79,70,112,80
2022/11/7,46,51,135,89,144,52
2022/11/8,61,50,120,80,143,60
2022/11/9,103,48,156,89,122,84
2022/11/10,119,52,147,86,91,135
2022/11/11,128,40,159,67,52,55
2022/11/12,29,38,41,58,33,42
2022/11/13,24,27,29,24,56,43
2022/11/14,53,48,51,39,68,84
2022/11/15,40,83,62,59,85,80
2022/11/16,49,89,80,58,142,82
2022/11/17,83,38,94,58,189,104
2022/11/18,110,42,79,73,206,84
2022/11/19,130,58,62,44,105,65
2022/11/20,148,65,62,52,159,38
2022/11/21,57,59,46,44,130,38
2022/11/22,62,48,43,33,54,61
2022/11/23,97,42,62,45,98,100
2022/11/24,156,63,59,52,108,113
2022/11/25,72,64,56,59,104,57
2022/11/26,28,69,64,62,127,29
2022/11/27,41,43,53,54,169,51
2022/11/28,76,38,53,25,101,58
2022/11/29,40,27,96,39,110,34
2022/11/30,31,29,51,38,59,37
2022/12/1,34,40,53,26,71,30
2022/12/2,61,60,73,45,112,53
2022/12/3,32,57,98,64,156,35
2022/12/4,33,31,58,68,128,38
2022/12/5,46,32,124,48,175,56
2022/12/6,52,68,188,68,212,57
